id,question,slug,condition_id,token1,token2,answer1,answer2,closed,active,archived,outcome_prices,volume,event_id,event_slug,event_title,created_at,end_date,updated_at,neg_risk
507300,Will Inter Milan win the UEFA Champions League?,will-inter-milan-win-the-uefa-champions-league,0x7beceb04f7b1d4f0dde80b58c6f43c23b8ad54b21c693e172c974f480b46483c,38626294313509935541386699081410949237349566230461651187135121754117545664676,65364971108743229299115080961714574928050691076397658748681151538041220144291,Yes,No,1,1,0,"['0', '1']",82978657.0443518,12585,champions-league-winner-2025,Champions League Winner,2024-09-17 17:27:16+00:00,2025-05-31 12:00:00+00:00,2026-04-16 00:19:43+00:00,1
542539,No change in Fed interest rates after September 2025 meeting?,no-change-in-fed-interest-rates-after-september-2025-meeting,0x02dc46f4354c1cc447577db82ba62cca1bda737bd67b73fe966ce1bfe580868f,20687552179259492015264396642668768958132112743605647653821858729131283300433,112366758121468199816335075341769488016411976085810291047672574777931003289565,Yes,No,1,1,0,"['0', '1']",67368762.49652,24087,fed-decision-in-september,Fed decision in September?,2025-05-07 21:42:51+00:00,2025-09-17 12:00:00+00:00,2026-04-16 00:20:56+00:00,1
570360,Fed decreases interest rates by 50+ bps after December 2025 meeting?,fed-decreases-interest-rates-by-50-bps-after-december-2025-meeting,0x6903b766f5fda3d5b02f4472a6b4154419e78b7fd126c0b29ce17bb8e20b20cc,74018646712472971445258547247048869505144598783748525202442089895996249694683,21489772516410038586556744342392982044189999368638682594741395650226594484811,Yes,No,1,1,0,"['0', '1']",161574382.129451,35090,fed-decision-in-december,Fed decision in December?,2025-07-31 19:28:08+00:00,2025-12-10 00:00:00+00:00,2026-04-16 00:21:51+00:00,1
2446852,Will Ronaldo Cry at the World Cup?,will-ronaldo-cry-at-the-world-cup-20260604013616610,0x86f5b0f1934bb39421651ad2ba0f04494700ba9e95663a5c141a8674c4978c15,70563299267515386481251787764905458483722161674933642786238649081287869119194,109392421932188039945545044017437190536265072491394447153785057292645948915384,Yes,No,1,1,0,"['0.9995', '0.0005']",88798567.37233911,563178,will-ronaldo-cry-at-the-world-cup-20260604013616610,Will Ronaldo Cry at the World Cup?,2026-06-05 20:03:35+00:00,2026-07-10 00:10:04+00:00,2026-07-10 01:11:58+00:00,0
